1,VexTheWarlock,115.5,574,T,J
2,SilasStormblade,285.5,863,M,J
3,JinxedArrow,220.9,742,J,M
4,IroncladMike,181.6,240,T,J
5,MysticBloom,51.0,563,S,A
6,Swiftstrike,203.2,126,A,S
7,AlphaSpecter,17.4,863,J,A
8,CrimsonTalon,245.8,550,M,T
9,GhostPepper_,149.2,284,A,S
10,LunarEchoes,21.5,159,S,J
11,ZenithKing,101.4,460,T,A
12,RogueWaveXD,279.1,70,J,S
13,HyperionPrime,109.9,715,M,A
14,ToxicLlama,136.6,560,A,T
15,PixelSage,188.7,736,S,M
16,Doomhammer01,104.2,490,T,J
17,Whisperwind,143.6,584,J,M
18,StaticShift,170.8,806,M,S
19,FortyTwoHz,252.6,35,A,T
20,HealerBot_47,131.5,419,S,J
21,SteelCurtain,293.7,678,T,S
22,MadJester_,23.3,101,J,A
23,VoidWalker,195.9,321,M,T
24,GamerTag_99,28.8,92,A,S
25,AzureFlame,124.6,765,S,M
26,TheBrimstone,177.3,822,T,J
27,ShadowDrift,249.0,305,J,A
28,CodeBreaker,88.4,142,M,S
29,NocturneADC,298.5,800,A,T
30,SupportiveSnail,22.2,50,S,J
31,ElCapitanoTop,77.7,610,T,M
32,JungleBoi88,152.0,851,J,S
33,MidLaneMaestro,260.6,340,M,A
34,KiteAndSmite,60.8,790,A,J
35,WardPlacementPro,165.7,210,S,T
36,TheDreadnought,44.9,470,T,M
37,FlankingFairy,133.4,725,J,A
38,ZAP_Gamer,206.5,400,M,S
39,FinalBoss_7,8.5,170,A,T
40,SilverShield,119.6,650,S,J
41,TankMasterFlex,273.8,95,T,A
42,GankingGuru,217.4,595,J,M
43,SpellSlinger,14.7,830,M,A
44,CannonMinion,288.6,370,A,S
45,UtilityBelt,190.1,680,S,T
46,PentaKillPete,38.1,510,T,J
47,BushCamper,236.0,880,J,S
48,AfkFarmGod,68.9,230,M,T
49,CaliPanda,158.3,770,A,J
50,SenpaiSupp,91.8,440,S,M
51,TheBaronSlayer,10.1,190,T,S
52,InvadeOrAFK,295.3,620,J,A
53,LaneBully_M,73.5,840,M,T
54,CritMachine,185.0,250,A,J
55,AuraSupport,229.4,530,S,A
56,TowerDiver,269.7,700,T,M
57,PathingIsKey,112.9,90,J,S
58,RoamingRanger,162.2,480,M,J
59,HyperCarryKid,208.9,310,A,T
60,TheWardingTree,94.5,750,S,M
61,TopDiffSolo,25.6,500,T,A
62,SmiteStealer,243.5,130,J,S
63,MidOrFeedDuo,139.7,810,M,J
64,EzPzLemonSqzy,282.8,360,A,M
65,PeelMePlease,174.1,640,S,T
66,BruiserBuddy,31.7,270,T,A
67,JungleGapGG,256.4,540,J,M
68,ZhonyaRush,146.4,70,M,S
69,OneShotWonder,128.2,740,A,J
70,EnchanterMain,55.1,430,S,T
71,TheSplitPusher,213.6,180,T,S
72,ObjectiveSecurer,11.3,600,J,A
73,TheCarryPotato,198.0,870,M,T
74,FarmForDays,75.0,220,A,S
75,GuardianAngel,225.5,520,S,M
76,TanksAreFun,141.9,660,T,J
77,MyHandsAreCold,29.9,30,J,S
78,LaneDominator,168.0,380,M,A
79,ADC_Diff,201.5,895,A,T
80,HookMaster,48.0,450,S,J
81,TPForKills,277.9,110,T,M
82,DeepVision,183.4,690,J,A
83,CleanseExpert,57.7,900,M,S
84,LastHitLegend,210.8,260,A,T
85,PillowFighter,97.5,55,S,J
86,TeleportKing,155.2,580,T,A
